id,input_address,region,latitude,longitude,state,ghi_annual,dni_annual,lat_tilt_annual,system_capacity_kw,ac_annual_kwh,capacity_factor,solrad_annual,ac_jan,ac_feb,ac_mar,ac_apr,ac_may,ac_jun,ac_jul,ac_aug,ac_sep,ac_oct,ac_nov,ac_dec,electricity_rate_residential,electricity_rate_commercial,utility_name,srec_price_per_mwh,system_cost_gross,system_cost_net,annual_savings,simple_payback_years,annual_srec_revenue,lcoe,data_quality_score,missing_fields
MA_001,77 Holworthy St Boston MA 02121,Northeast,42.3168109,-71.0913115,Massachusetts,3.84,3.79,4.57,5.0,6626.793110932073,15.12966463683126,4.711290730086262,505.8945440293128,530.6091843205243,659.1438446276319,598.1968497597942,567.9039519529282,570.9531053764289,641.2962966413629,619.2991375233443,602.2374816133691,532.6738480177459,428.8210806510447,369.7637864185988,0.1491,,NSTAR Electric Co,280.0,12500.0,8750.0,988.05,3.08,1855.5,0.0561,100,
CA_001,"2257 E Tyler Ave, Fresno, CA 93701",West,36.755523,-119.7843539,California,5.26,5.96,5.91,5.0,8337.09673109066,19.03446742258149,6.031046919170752,426.5060634687501,564.3563323453441,728.3840644614553,739.1796397936281,812.0128749775791,803.7770507872232,810.3476829549011,829.5995890806784,791.7575515788703,737.6235356811304,610.8955373138042,482.656808647322,0.1559,,Pacific Gas & Electric Co,0,12500.0,8750.0,1299.75,6.73,0,0.0446,100,
TX_001,"908 Jewell St, Austin, TX 78704",South,30.2519575,-97.7589382,Texas,4.74,4.88,5.21,5.0,7377.592274397832,16.84381797807727,5.31185078081737,549.9745091563194,483.412139808746,595.73990296467,644.6747193833348,643.3842507450005,651.777257999482,694.9832673475767,733.0382952815963,642.1706778556551,645.0044954297521,576.7579867543781,516.6747716713272,0.1044,,Austin Energy|TXU Energy Retail Co LP,0,12500.0,8750.0,770.22,11.36,0,0.0503,100,
FL_001,"400 Biscayne Boulevard, Miami, FL 33132",Southeast,25.7786724,-80.1889271,Florida,5.17,5.04,5.63,5.0,7760.028641206028,17.71696036805028,5.566426697735518,611.4299359334228,621.7967290601849,766.0121457890696,711.9606631549742,683.7223493810222,602.716053993823,658.6294423324536,663.0305840349438,621.3195447588106,640.4807654094295,604.6983304882455,574.2320968696532,0.104,,Florida Power & Light Co,0,12500.0,8750.0,807.04,10.84,0,0.0479,100,
AZ_001,"100 North Central Avenue, Phoenix, AZ 85004",Southwest,33.449438,-112.073913,Arizona,5.78,7.35,6.68,5.0,8929.947461408756,20.38800790275985,6.561207430916262,669.9092746708329,666.2001794019113,795.1389262023736,836.9173975384209,837.1383595269658,785.0872396221271,724.0766298722793,738.9504820898884,752.3770185937466,755.8272791130239,694.8019331750378,673.5227416021623,0.1196,,Arizona Public Service Co,0,12500.0,8750.0,1068.02,8.19,0,0.0416,100,
IL_001,"233 South Wacker Drive, Chicago, IL 60606",Midwest,41.8787381,-87.6359612,Illinois,3.89,3.72,4.5,5.0,6534.199159848899,14.91826292202944,4.452476694237281,398.8522463968132,478.0752631763389,557.1694306087634,606.9460387881553,616.3342558952039,629.7079163492564,697.5332904073359,649.620874665744,613.6632678239437,518.4872868110931,413.2464019115816,354.5628870146547,0.1044,,Commonwealth Edison Co,70.0,12500.0,8750.0,682.17,7.68,457.39,0.0568,100,
CO_001,"1144 15th Street, Denver, CO 80202",Mountain,39.7470275,-104.9976087,Colorado,4.83,6.12,5.85,5.0,8165.461692926905,18.64260660485596,5.728169431489335,603.9026158904882,634.5078588752056,760.6798039842687,715.2717082972833,698.3734236903504,700.091107740113,703.1529775729235,703.8528311272563,718.8980708344794,685.3240761449957,647.7836482525461,593.623570516995,0.1105,,Public Service Co of Colorado,0,12500.0,8750.0,902.28,9.7,0,0.0455,100,
WA_001,"400 Broad Street, Seattle, WA 98109",Pacific Northwest,47.6205131,-122.3493036,Washington,3.46,3.5,3.98,5.0,5348.938017518589,12.21218725460861,3.824586489542289,244.3470565933859,319.0833700907821,425.8449991744812,550.6927484730801,606.355400478989,555.5806176215686,621.7025881658759,673.0675134816786,533.2783186371882,389.5413160857281,229.4731997077111,199.9708890081184,0.0775,,Seattle City Light,0,12500.0,8750.0,414.54,21.11,0,0.0694,100,
